native_id,met_monitor_id,state,cbsa,latitude,longitude,pct_available
A690,23,AL,22520,34.7441,-87.5997,1
CECC1,49,CA,99999,41.78028,-124.23667,0.9984
K0J4,10,AL,99999,31.0425,-86.31167,0.9986
K12N,467,NJ,35084,41.00889,-74.73667,0.9945
K1V4,723,VT,99999,44.42,-72.0194,0.9986
K2WX,617,SD,99999,45.60444,-103.54639,1
K40J,159,FL,99999,30.07194,-83.57361,0.9756
K6R6,697,TX,99999,30.04806,-102.21306,1
K79J,11,AL,99999,31.30889,-86.39389,1
K8D3,618,SD,99999,45.66889,-96.99139,0.9876
K9V9,622,SD,99999,43.76667,-99.31833,1
KAAF,160,FL,99999,29.72583,-85.02056,0.9888
KAAT,48,CA,99999,41.49139,-120.56444,1
KABE,595,PA,10900,40.6508,-75.4492,1
KABI,660,TX,10180,32.4105,-99.6822,1
KABQ,470,NM,10740,35.0419,-106.6155,1
KABR,615,SD,99999,45.4433,-98.413,0.9972
KABY,184,GA,10500,31.53556,-84.19444,1
KACK,295,MA,99999,41.25306,-70.06083,0.9986
KACT,648,TX,47380,31.61889,-97.22833,1
KACV,47,CA,99999,40.97806,-124.10861,1
KACY,460,NJ,12100,39.4494,-74.5672,0.9972
KADG,334,MI,99999,41.86778,-84.07944,0.9958
KAEX,278,LA,10780,31.33472,-92.55861,0.9986
KAFN,452,NH,99999,42.805,-72.00361,0.9931
KAFW,669,TX,23104,32.97333,-97.31806,1
KAGC,593,PA,38300,40.35472,-79.92167,1
KAGS,181,GA,12260,33.36444,-81.96333,1
KAHN,190,GA,12020,33.948,-83.3275,1
KAIA,449,NE,99999,42.05722,-102.8,0.9516
KAKH,406,NC,16740,35.19667,-81.15583,0.9972
KAKQ,711,VA,40060,36.98389,-77.00722,0.9931
KAKR,521,OH,10420,41.0375,-81.46417,0.9917
KALB,500,NY,10580,42.7431,-73.8092,1
KALI,678,TX,99999,27.74111,-98.02472,0.9889
KALO,198,IA,47940,42.5544,-92.4011,1
KALS,121,CO,99999,37.4389,-105.8613,0.9944
KALW,740,WA,99999,46.09472,-118.28694,1
KAMA,655,TX,11100,35.13,-101.43,0.9986
KAMG,179,GA,99999,31.5358,-82.5067,1
KAMM,254,KS,31740,39.29417,-96.92639,0
KAMW,194,IA,11180,41.99222,-93.62167,0.9972
KANB,16,AL,11500,33.5872,-85.8556,1
KAND,607,SC,11340,34.4977,-82.7097,1
KANJ,330,MI,99999,46.4794,-84.3572,0.9945
KAOH,517,OH,30620,40.70833,-84.02667,1
KAOO,590,PA,11020,40.29639,-78.32028,0.9751
KAPA,114,CO,19740,39.57028,-104.84889,1
KAPC,50,CA,34900,38.21028,-122.28472,1
KAPF,137,FL,34940,26.1522,-81.7752,0.9931
KAPN,328,MI,99999,45.0716,-83.5644,0.9959
KAQV,280,LA,99999,31.4,-93.28333,1
KAQW,310,MA,38340,42.7,-73.1666,1
KARA,289,LA,99999,30.0375,-91.8839,0.9972
KARB,335,MI,11460,42.22278,-83.74444,1
KARR,223,IL,16974,41.77,-88.48139,0.9903
KART,498,NY,99999,43.9922,-76.0217,0.9972
KASD,293,LA,35380,30.3433,-89.8222,0.9986
KASE,111,CO,99999,39.22306,-106.86833,0.9986
